"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_0402_1005Metric";1;"BT_LED_BLUE_0402";;;
2;"D1";"LED_0402_1005Metric";1;"WIFI_LED_GREEN_0402";;;
3;"D3";"LED_0402_1005Metric";1;"SIO_LED_ORANGE_0402";;;
4;"J1";"JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical";1;"LED_JST";;;
