Ref,Val,Package,PosX,PosY,Rot,Side
"J1","LED_JST","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",123.000000,-109.200000,180.000000,bottom
"D1","WIFI_LED_GREEN_0402","LED_0402_1005Metric",110.000000,-103.000000,0.000000,top
"D2","BT_LED_BLUE_0402","LED_0402_1005Metric",120.000000,-103.000000,0.000000,top
"D3","SIO_LED_ORANGE_0402","LED_0402_1005Metric",130.000000,-103.000000,0.000000,top
